DATE,TIME,STREET1,STREET2,HOOD_158,geometry,date,day_of_week,longitude,latitude,time,hour
2006-01-02,705,BATHURST ST,DUNDAS ST W,78,"{'type': 'MultiPoint', 'coordinates': [[-79.4062530005094, 43.6528919996767]]}",2006-01-02,Mon,-79.4062530005094,43.6528919996767,0705,07
2006-01-02,705,BATHURST ST,DUNDAS ST W,78,"{'type': 'MultiPoint', 'coordinates': [[-79.4062530005094, 43.6528919996767]]}",2006-01-02,Mon,-79.4062530005094,43.6528919996767,0705,07
2006-01-04,1940,DUFFERIN ST,SYLVAN AVE,83,"{'type': 'MultiPoint', 'coordinates': [[-79.433589999519, 43.6551449999255]]}",2006-01-04,Wed,-79.433589999519,43.6551449999255,1940,19
2006-01-04,1940,DUFFERIN ST,SYLVAN AVE,83,"{'type': 'MultiPoint', 'coordinates': [[-79.433589999519, 43.6551449999255]]}",2006-01-04,Wed,-79.433589999519,43.6551449999255,1940,19
2006-01-06,2210,DON MILLS RD,LEITH HILL RD,47,"{'type': 'MultiPoint', 'coordinates': [[-79.3478580000783, 43.7770559995892]]}",2006-01-06,Fri,-79.3478580000783,43.7770559995892,2210,22
2006-01-06,2210,DON MILLS RD,LEITH HILL RD,47,"{'type': 'MultiPoint', 'coordinates': [[-79.3478580000783, 43.7770559995892]]}",2006-01-06,Fri,-79.3478580000783,43.7770559995892,2210,22
2006-01-07,2325,STEELES AVE E,NINTH LINE ST,144,"{'type': 'MultiPoint', 'coordinates': [[-79.2247899996122, 43.8427450003871]]}",2006-01-07,Sat,-79.2247899996122,43.8427450003871,2325,23
2006-01-07,2325,STEELES AVE E,NINTH LINE ST,144,"{'type': 'MultiPoint', 'coordinates': [[-79.2247899996122, 43.8427450003871]]}",2006-01-07,Sat,-79.2247899996122,43.8427450003871,2325,23
2006-01-07,2325,STEELES AVE E,NINTH LINE ST,144,"{'type': 'MultiPoint', 'coordinates': [[-79.2247899996122, 43.8427450003871]]}",2006-01-07,Sat,-79.2247899996122,43.8427450003871,2325,23
2006-01-08,1507,PARLIAMENT ST,FRONT ST E,166,"{'type': 'MultiPoint', 'coordinates': [[-79.3626969996484, 43.6514960002045]]}",2006-01-08,Sun,-79.3626969996484,43.6514960002045,1507,15
2006-01-08,1507,PARLIAMENT ST,FRONT ST E,166,"{'type': 'MultiPoint', 'coordinates': [[-79.3626969996484, 43.6514960002045]]}",2006-01-08,Sun,-79.3626969996484,43.6514960002045,1507,15
2006-01-08,1507,PARLIAMENT ST,FRONT ST E,166,"{'type': 'MultiPoint', 'coordinates': [[-79.3626969996484, 43.6514960002045]]}",2006-01-08,Sun,-79.3626969996484,43.6514960002045,1507,15
2006-01-08,1507,PARLIAMENT ST,FRONT ST E,166,"{'type': 'MultiPoint', 'coordinates': [[-79.3626969996484, 43.6514960002045]]}",2006-01-08,Sun,-79.3626969996484,43.6514960002045,1507,15
2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,5,"{'type': 'MultiPoint', 'coordinates': [[-79.5580899994825, 43.7214449996384]]}",2006-01-08,Sun,-79.5580899994825,43.7214449996384,1828,18
2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,5,"{'type': 'MultiPoint', 'coordinates': [[-79.5580899994825, 43.7214449996384]]}",2006-01-08,Sun,-79.5580899994825,43.7214449996384,1828,18
2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,5,"{'type': 'MultiPoint', 'coordinates': [[-79.5580899994825, 43.7214449996384]]}",2006-01-08,Sun,-79.5580899994825,43.7214449996384,1828,18
2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,5,"{'type': 'MultiPoint', 'coordinates': [[-79.5580899994825, 43.7214449996384]]}",2006-01-08,Sun,-79.5580899994825,43.7214449996384,1828,18
2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,5,"{'type': 'MultiPoint', 'coordinates': [[-79.5580899994825, 43.7214449996384]]}",2006-01-08,Sun,-79.5580899994825,43.7214449996384,1828,18
2006-01-08,1828,ISLINGTON AVE,GOLFDOWN DR,5,"{'type': 'MultiPoint', 'coordinates': [[-79.5580899994825, 43.7214449996384]]}",2006-01-08,Sun,-79.5580899994825,43.7214449996384,1828,18
2006-01-09,1435,KENNEDY RD,GLAMORGAN AVE,126,"{'type': 'MultiPoint', 'coordinates': [[-79.2822899995734, 43.7694450004464]]}",2006-01-09,Mon,-79.2822899995734,43.7694450004464,1435,14
2006-01-09,1435,KENNEDY RD,GLAMORGAN AVE,126,"{'type': 'MultiPoint', 'coordinates': [[-79.2822899995734, 43.7694450004464]]}",2006-01-09,Mon,-79.2822899995734,43.7694450004464,1435,14
2006-01-09,1435,KENNEDY RD,GLAMORGAN AVE,126,"{'type': 'MultiPoint', 'coordinates': [[-79.2822899995734, 43.7694450004464]]}",2006-01-09,Mon,-79.2822899995734,43.7694450004464,1435,14
2006-01-09,1820,FINCH AVE E,MIDDLEFIELD RD,129,"{'type': 'MultiPoint', 'coordinates': [[-79.2576629997092, 43.8098169996083]]}",2006-01-09,Mon,-79.2576629997092,43.8098169996083,1820,18
2006-01-09,1820,FINCH AVE E,MIDDLEFIELD RD,129,"{'type': 'MultiPoint', 'coordinates': [[-79.2576629997092, 43.8098169996083]]}",2006-01-09,Mon,-79.2576629997092,43.8098169996083,1820,18
2006-01-09,1820,FINCH AVE E,MIDDLEFIELD RD,129,"{'type': 'MultiPoint', 'coordinates': [[-79.2576629997092, 43.8098169996083]]}",2006-01-09,Mon,-79.2576629997092,43.8098169996083,1820,18
2006-01-10,804,BRIMLEY RD,GULLY DR,157,"{'type': 'MultiPoint', 'coordinates': [[-79.2512899995606, 43.743644999919]]}",2006-01-10,Tue,-79.2512899995606,43.743644999919,0804,08
2006-01-10,804,BRIMLEY RD,GULLY DR,157,"{'type': 'MultiPoint', 'coordinates': [[-79.2512899995606, 43.743644999919]]}",2006-01-10,Tue,-79.2512899995606,43.743644999919,0804,08
2006-01-11,1120,BARTLEY DR,JINNAH CRT,43,"{'type': 'MultiPoint', 'coordinates': [[-79.3079900001143, 43.7220450003276]]}",2006-01-11,Wed,-79.3079900001143,43.7220450003276,1120,11
2006-01-11,1120,BARTLEY DR,JINNAH CRT,43,"{'type': 'MultiPoint', 'coordinates': [[-79.3079900001143, 43.7220450003276]]}",2006-01-11,Wed,-79.3079900001143,43.7220450003276,1120,11
2006-01-11,1120,BARTLEY DR,JINNAH CRT,43,"{'type': 'MultiPoint', 'coordinates': [[-79.3079900001143, 43.7220450003276]]}",2006-01-11,Wed,-79.3079900001143,43.7220450003276,1120,11
2006-01-11,1120,BARTLEY DR,JINNAH CRT,43,"{'type': 'MultiPoint', 'coordinates': [[-79.3079900001143, 43.7220450003276]]}",2006-01-11,Wed,-79.3079900001143,43.7220450003276,1120,11
2006-01-11,1120,BARTLEY DR,JINNAH CRT,43,"{'type': 'MultiPoint', 'coordinates': [[-79.3079900001143, 43.7220450003276]]}",2006-01-11,Wed,-79.3079900001143,43.7220450003276,1120,11
2006-01-11,1120,BARTLEY DR,JINNAH CRT,43,"{'type': 'MultiPoint', 'coordinates': [[-79.3079900001143, 43.7220450003276]]}",2006-01-11,Wed,-79.3079900001143,43.7220450003276,1120,11
2006-01-14,904,WESTON RD,CORONADO CRT,22,"{'type': 'MultiPoint', 'coordinates': [[-79.5398900005286, 43.7410449999284]]}",2006-01-14,Sat,-79.5398900005286,43.7410449999284,0904,09
2006-01-14,904,WESTON RD,CORONADO CRT,22,"{'type': 'MultiPoint', 'coordinates': [[-79.5398900005286, 43.7410449999284]]}",2006-01-14,Sat,-79.5398900005286,43.7410449999284,0904,09
2006-01-14,904,WESTON RD,CORONADO CRT,22,"{'type': 'MultiPoint', 'coordinates': [[-79.5398900005286, 43.7410449999284]]}",2006-01-14,Sat,-79.5398900005286,43.7410449999284,0904,09
2006-01-14,2058,EGLINTON AVE W,BRAEMAR AVE,100,"{'type': 'MultiPoint', 'coordinates': [[-79.4095899997662, 43.7043449996592]]}",2006-01-14,Sat,-79.4095899997662,43.7043449996592,2058,20
2006-01-14,2058,EGLINTON AVE W,BRAEMAR AVE,100,"{'type': 'MultiPoint', 'coordinates': [[-79.4095899997662, 43.7043449996592]]}",2006-01-14,Sat,-79.4095899997662,43.7043449996592,2058,20
2006-01-15,1812,3367 DUNDAS ST W,None,89,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899998632, 43.6655449997655]]}",2006-01-15,Sun,-79.4828899998632,43.6655449997655,1812,18
2006-01-15,1812,3367 DUNDAS ST W,None,89,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899998632, 43.6655449997655]]}",2006-01-15,Sun,-79.4828899998632,43.6655449997655,1812,18
2006-01-17,1940,SHEPPARD AVE W,SENLAC RD,38,"{'type': 'MultiPoint', 'coordinates': [[-79.4225899997229, 43.7589449998049]]}",2006-01-17,Tue,-79.4225899997229,43.7589449998049,1940,19
2006-01-17,1940,SHEPPARD AVE W,SENLAC RD,38,"{'type': 'MultiPoint', 'coordinates': [[-79.4225899997229, 43.7589449998049]]}",2006-01-17,Tue,-79.4225899997229,43.7589449998049,1940,19
2006-01-17,2200,LAWRENCE AVE E,COLLINSGROVE RD,136,"{'type': 'MultiPoint', 'coordinates': [[-79.1827900000736, 43.7691449998002]]}",2006-01-17,Tue,-79.1827900000736,43.7691449998002,2200,22
2006-01-17,2200,LAWRENCE AVE E,COLLINSGROVE RD,136,"{'type': 'MultiPoint', 'coordinates': [[-79.1827900000736, 43.7691449998002]]}",2006-01-17,Tue,-79.1827900000736,43.7691449998002,2200,22
2006-01-21,1829,MIDLAND AVE,GOODLAND GT,128,"{'type': 'MultiPoint', 'coordinates': [[-79.2755900002236, 43.7793450003917]]}",2006-01-21,Sat,-79.2755900002236,43.7793450003917,1829,18
2006-01-21,1829,MIDLAND AVE,GOODLAND GT,128,"{'type': 'MultiPoint', 'coordinates': [[-79.2755900002236, 43.7793450003917]]}",2006-01-21,Sat,-79.2755900002236,43.7793450003917,1829,18
2006-01-21,1829,MIDLAND AVE,GOODLAND GT,128,"{'type': 'MultiPoint', 'coordinates': [[-79.2755900002236, 43.7793450003917]]}",2006-01-21,Sat,-79.2755900002236,43.7793450003917,1829,18
2006-01-22,230,460 CORONATION DR,None,136,"{'type': 'MultiPoint', 'coordinates': [[-79.1703900003227, 43.7650450002233]]}",2006-01-22,Sun,-79.1703900003227,43.7650450002233,0230,02
2006-01-22,230,460 CORONATION DR,None,136,"{'type': 'MultiPoint', 'coordinates': [[-79.1703900003227, 43.7650450002233]]}",2006-01-22,Sun,-79.1703900003227,43.7650450002233,0230,02
2006-01-22,230,460 CORONATION DR,None,136,"{'type': 'MultiPoint', 'coordinates': [[-79.1703900003227, 43.7650450002233]]}",2006-01-22,Sun,-79.1703900003227,43.7650450002233,0230,02
2006-01-22,1800,YONGE ST,CUMBERLAND ST,95,"{'type': 'MultiPoint', 'coordinates': [[-79.3871899999238, 43.6711450004224]]}",2006-01-22,Sun,-79.3871899999238,43.6711450004224,1800,18
2006-01-22,1800,YONGE ST,CUMBERLAND ST,95,"{'type': 'MultiPoint', 'coordinates': [[-79.3871899999238, 43.6711450004224]]}",2006-01-22,Sun,-79.3871899999238,43.6711450004224,1800,18
2006-01-22,1800,YONGE ST,CUMBERLAND ST,95,"{'type': 'MultiPoint', 'coordinates': [[-79.3871899999238, 43.6711450004224]]}",2006-01-22,Sun,-79.3871899999238,43.6711450004224,1800,18
2006-01-24,145,WARDEN AVE,LAWRENCE AVE E,119,"{'type': 'MultiPoint', 'coordinates': [[-79.294689999545, 43.745345000029]]}",2006-01-24,Tue,-79.294689999545,43.745345000029,0145,01
2006-01-24,145,WARDEN AVE,LAWRENCE AVE E,119,"{'type': 'MultiPoint', 'coordinates': [[-79.294689999545, 43.745345000029]]}",2006-01-24,Tue,-79.294689999545,43.745345000029,0145,01
2006-01-24,145,WARDEN AVE,LAWRENCE AVE E,119,"{'type': 'MultiPoint', 'coordinates': [[-79.294689999545, 43.745345000029]]}",2006-01-24,Tue,-79.294689999545,43.745345000029,0145,01
2006-01-24,145,WARDEN AVE,LAWRENCE AVE E,119,"{'type': 'MultiPoint', 'coordinates': [[-79.294689999545, 43.745345000029]]}",2006-01-24,Tue,-79.294689999545,43.745345000029,0145,01
2006-01-24,754,DEAN PARK RD,BRAYMORE BLVD,143,"{'type': 'MultiPoint', 'coordinates': [[-79.1706900005416, 43.8034449998772]]}",2006-01-24,Tue,-79.1706900005416,43.8034449998772,0754,07
2006-01-24,754,DEAN PARK RD,BRAYMORE BLVD,143,"{'type': 'MultiPoint', 'coordinates': [[-79.1706900005416, 43.8034449998772]]}",2006-01-24,Tue,-79.1706900005416,43.8034449998772,0754,07
2006-01-24,754,DEAN PARK RD,BRAYMORE BLVD,143,"{'type': 'MultiPoint', 'coordinates': [[-79.1706900005416, 43.8034449998772]]}",2006-01-24,Tue,-79.1706900005416,43.8034449998772,0754,07
2006-01-24,2220,MOUNT PLEASANT RD,WHITEHALL RD,98,"{'type': 'MultiPoint', 'coordinates': [[-79.3834900000628, 43.684045000043]]}",2006-01-24,Tue,-79.3834900000628,43.684045000043,2220,22
2006-01-24,2220,MOUNT PLEASANT RD,WHITEHALL RD,98,"{'type': 'MultiPoint', 'coordinates': [[-79.3834900000628, 43.684045000043]]}",2006-01-24,Tue,-79.3834900000628,43.684045000043,2220,22
2006-01-24,2220,MOUNT PLEASANT RD,WHITEHALL RD,98,"{'type': 'MultiPoint', 'coordinates': [[-79.3834900000628, 43.684045000043]]}",2006-01-24,Tue,-79.3834900000628,43.684045000043,2220,22
2006-01-24,2220,MOUNT PLEASANT RD,WHITEHALL RD,98,"{'type': 'MultiPoint', 'coordinates': [[-79.3834900000628, 43.684045000043]]}",2006-01-24,Tue,-79.3834900000628,43.684045000043,2220,22
2006-01-24,2220,MOUNT PLEASANT RD,WHITEHALL RD,98,"{'type': 'MultiPoint', 'coordinates': [[-79.3834900000628, 43.684045000043]]}",2006-01-24,Tue,-79.3834900000628,43.684045000043,2220,22
2006-01-24,2220,MOUNT PLEASANT RD,WHITEHALL RD,98,"{'type': 'MultiPoint', 'coordinates': [[-79.3834900000628, 43.684045000043]]}",2006-01-24,Tue,-79.3834900000628,43.684045000043,2220,22
2006-01-27,2046,BLOOR ST W,CHRISTIE ST,80,"{'type': 'MultiPoint', 'coordinates': [[-79.4183899998786, 43.6635449999484]]}",2006-01-27,Fri,-79.4183899998786,43.6635449999484,2046,20
2006-01-27,2046,BLOOR ST W,CHRISTIE ST,80,"{'type': 'MultiPoint', 'coordinates': [[-79.4183899998786, 43.6635449999484]]}",2006-01-27,Fri,-79.4183899998786,43.6635449999484,2046,20
2006-01-27,2046,BLOOR ST W,CHRISTIE ST,80,"{'type': 'MultiPoint', 'coordinates': [[-79.4183899998786, 43.6635449999484]]}",2006-01-27,Fri,-79.4183899998786,43.6635449999484,2046,20
2006-01-27,2046,BLOOR ST W,CHRISTIE ST,80,"{'type': 'MultiPoint', 'coordinates': [[-79.4183899998786, 43.6635449999484]]}",2006-01-27,Fri,-79.4183899998786,43.6635449999484,2046,20
2006-01-27,2046,BLOOR ST W,CHRISTIE ST,80,"{'type': 'MultiPoint', 'coordinates': [[-79.4183899998786, 43.6635449999484]]}",2006-01-27,Fri,-79.4183899998786,43.6635449999484,2046,20
2006-01-27,2301,NORTH YORK BLVD,BEECROFT RD,38,"{'type': 'MultiPoint', 'coordinates': [[-79.4142900006122, 43.7665450000948]]}",2006-01-27,Fri,-79.4142900006122,43.7665450000948,2301,23
2006-01-27,2301,NORTH YORK BLVD,BEECROFT RD,38,"{'type': 'MultiPoint', 'coordinates': [[-79.4142900006122, 43.7665450000948]]}",2006-01-27,Fri,-79.4142900006122,43.7665450000948,2301,23
2006-01-27,2301,NORTH YORK BLVD,BEECROFT RD,38,"{'type': 'MultiPoint', 'coordinates': [[-79.4142900006122, 43.7665450000948]]}",2006-01-27,Fri,-79.4142900006122,43.7665450000948,2301,23
2006-01-29,2130,ST CLAIR AVE W,SPADINA RD,96,"{'type': 'MultiPoint', 'coordinates': [[-79.4111899995231, 43.6846450002512]]}",2006-01-29,Sun,-79.4111899995231,43.6846450002512,2130,21
2006-01-29,2130,ST CLAIR AVE W,SPADINA RD,96,"{'type': 'MultiPoint', 'coordinates': [[-79.4111899995231, 43.6846450002512]]}",2006-01-29,Sun,-79.4111899995231,43.6846450002512,2130,21
2006-02-02,1421,SPADINA AVE,NASSAU ST,78,"{'type': 'MultiPoint', 'coordinates': [[-79.3991900000971, 43.6558450001592]]}",2006-02-02,Thu,-79.3991900000971,43.655845000159204,1421,14
2006-02-02,1421,SPADINA AVE,NASSAU ST,78,"{'type': 'MultiPoint', 'coordinates': [[-79.3991900000971, 43.6558450001592]]}",2006-02-02,Thu,-79.3991900000971,43.655845000159204,1421,14
2006-02-02,1421,SPADINA AVE,NASSAU ST,78,"{'type': 'MultiPoint', 'coordinates': [[-79.3991900000971, 43.6558450001592]]}",2006-02-02,Thu,-79.3991900000971,43.655845000159204,1421,14
2006-02-02,1421,SPADINA AVE,NASSAU ST,78,"{'type': 'MultiPoint', 'coordinates': [[-79.3991900000971, 43.6558450001592]]}",2006-02-02,Thu,-79.3991900000971,43.655845000159204,1421,14
2006-02-03,758,BIRCHMOUNT RD,L AMOREAUX DR,148,"{'type': 'MultiPoint', 'coordinates': [[-79.3070900000336, 43.8006449999107]]}",2006-02-03,Fri,-79.3070900000336,43.8006449999107,0758,07
2006-02-03,758,BIRCHMOUNT RD,L AMOREAUX DR,148,"{'type': 'MultiPoint', 'coordinates': [[-79.3070900000336, 43.8006449999107]]}",2006-02-03,Fri,-79.3070900000336,43.8006449999107,0758,07
2006-02-03,957,ELLESMERE RD,BIRCHMOUNT RD,119,"{'type': 'MultiPoint', 'coordinates': [[-79.2913899994923, 43.76344499991]]}",2006-02-03,Fri,-79.2913899994923,43.76344499991,0957,09
2006-02-03,957,ELLESMERE RD,BIRCHMOUNT RD,119,"{'type': 'MultiPoint', 'coordinates': [[-79.2913899994923, 43.76344499991]]}",2006-02-03,Fri,-79.2913899994923,43.76344499991,0957,09
2006-02-07,1330,JANE ST,BRADLEY AVE,89,"{'type': 'MultiPoint', 'coordinates': [[-79.4903900005944, 43.6637450003834]]}",2006-02-07,Tue,-79.4903900005944,43.6637450003834,1330,13
2006-02-07,1330,JANE ST,BRADLEY AVE,89,"{'type': 'MultiPoint', 'coordinates': [[-79.4903900005944, 43.6637450003834]]}",2006-02-07,Tue,-79.4903900005944,43.6637450003834,1330,13
2006-02-08,745,WOODSIDE AVE,RUNNYMEDE RD,88,"{'type': 'MultiPoint', 'coordinates': [[-79.4790900004466, 43.6578449995707]]}",2006-02-08,Wed,-79.4790900004466,43.6578449995707,0745,07
2006-02-08,745,WOODSIDE AVE,RUNNYMEDE RD,88,"{'type': 'MultiPoint', 'coordinates': [[-79.4790900004466, 43.6578449995707]]}",2006-02-08,Wed,-79.4790900004466,43.6578449995707,0745,07
2006-02-08,1500,CARLINGVIEW DR,DIXON RD,1,"{'type': 'MultiPoint', 'coordinates': [[-79.5955899998084, 43.6867450003048]]}",2006-02-08,Wed,-79.5955899998084,43.6867450003048,1500,15
2006-02-08,1500,CARLINGVIEW DR,DIXON RD,1,"{'type': 'MultiPoint', 'coordinates': [[-79.5955899998084, 43.6867450003048]]}",2006-02-08,Wed,-79.5955899998084,43.6867450003048,1500,15
2006-02-11,1804,UNDERHILL DR,CASSANDRA BLVD,149,"{'type': 'MultiPoint', 'coordinates': [[-79.3263899993756, 43.7527450003676]]}",2006-02-11,Sat,-79.3263899993756,43.7527450003676,1804,18
2006-02-11,1804,UNDERHILL DR,CASSANDRA BLVD,149,"{'type': 'MultiPoint', 'coordinates': [[-79.3263899993756, 43.7527450003676]]}",2006-02-11,Sat,-79.3263899993756,43.7527450003676,1804,18
2006-02-12,845,840 KENNEDY RD,None,125,"{'type': 'MultiPoint', 'coordinates': [[-79.2694899995958, 43.7359450002912]]}",2006-02-12,Sun,-79.2694899995958,43.7359450002912,0845,08
2006-02-12,845,840 KENNEDY RD,None,125,"{'type': 'MultiPoint', 'coordinates': [[-79.2694899995958, 43.7359450002912]]}",2006-02-12,Sun,-79.2694899995958,43.7359450002912,0845,08
2006-02-12,845,840 KENNEDY RD,None,125,"{'type': 'MultiPoint', 'coordinates': [[-79.2694899995958, 43.7359450002912]]}",2006-02-12,Sun,-79.2694899995958,43.7359450002912,0845,08
2006-02-12,845,840 KENNEDY RD,None,125,"{'type': 'MultiPoint', 'coordinates': [[-79.2694899995958, 43.7359450002912]]}",2006-02-12,Sun,-79.2694899995958,43.7359450002912,0845,08
2006-02-12,845,840 KENNEDY RD,None,125,"{'type': 'MultiPoint', 'coordinates': [[-79.2694899995958, 43.7359450002912]]}",2006-02-12,Sun,-79.2694899995958,43.7359450002912,0845,08
2006-02-12,845,840 KENNEDY RD,None,125,"{'type': 'MultiPoint', 'coordinates': [[-79.2694899995958, 43.7359450002912]]}",2006-02-12,Sun,-79.2694899995958,43.7359450002912,0845,08
2006-02-12,856,PAPE AVE,CANNING AVE,66,"{'type': 'MultiPoint', 'coordinates': [[-79.3460899999885, 43.6823449995789]]}",2006-02-12,Sun,-79.3460899999885,43.6823449995789,0856,08
2006-02-12,856,PAPE AVE,CANNING AVE,66,"{'type': 'MultiPoint', 'coordinates': [[-79.3460899999885, 43.6823449995789]]}",2006-02-12,Sun,-79.3460899999885,43.6823449995789,0856,08
2006-02-12,856,PAPE AVE,CANNING AVE,66,"{'type': 'MultiPoint', 'coordinates': [[-79.3460899999885, 43.6823449995789]]}",2006-02-12,Sun,-79.3460899999885,43.6823449995789,0856,08
2006-02-12,856,PAPE AVE,CANNING AVE,66,"{'type': 'MultiPoint', 'coordinates': [[-79.3460899999885, 43.6823449995789]]}",2006-02-12,Sun,-79.3460899999885,43.6823449995789,0856,08
2006-02-12,856,PAPE AVE,CANNING AVE,66,"{'type': 'MultiPoint', 'coordinates': [[-79.3460899999885, 43.6823449995789]]}",2006-02-12,Sun,-79.3460899999885,43.6823449995789,0856,08
2006-02-12,856,PAPE AVE,CANNING AVE,66,"{'type': 'MultiPoint', 'coordinates': [[-79.3460899999885, 43.6823449995789]]}",2006-02-12,Sun,-79.3460899999885,43.6823449995789,0856,08
2006-02-14,520,EGLINTON AVE W,BLACK CREEK DR,110,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899997705, 43.6883449999677]]}",2006-02-14,Tue,-79.4828899997705,43.6883449999677,0520,05
2006-02-14,520,EGLINTON AVE W,BLACK CREEK DR,110,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899997705, 43.6883449999677]]}",2006-02-14,Tue,-79.4828899997705,43.6883449999677,0520,05
2006-02-14,520,EGLINTON AVE W,BLACK CREEK DR,110,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899997705, 43.6883449999677]]}",2006-02-14,Tue,-79.4828899997705,43.6883449999677,0520,05
2006-02-14,520,EGLINTON AVE W,BLACK CREEK DR,110,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899997705, 43.6883449999677]]}",2006-02-14,Tue,-79.4828899997705,43.6883449999677,0520,05
2006-02-14,520,EGLINTON AVE W,BLACK CREEK DR,110,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899997705, 43.6883449999677]]}",2006-02-14,Tue,-79.4828899997705,43.6883449999677,0520,05
2006-02-14,520,EGLINTON AVE W,BLACK CREEK DR,110,"{'type': 'MultiPoint', 'coordinates': [[-79.4828899997705, 43.6883449999677]]}",2006-02-14,Tue,-79.4828899997705,43.6883449999677,0520,05
2006-02-16,620,2443 ISLINGTON AVE,None,4,"{'type': 'MultiPoint', 'coordinates': [[-79.5600900005698, 43.7255449998513]]}",2006-02-16,Thu,-79.5600900005698,43.7255449998513,0620,06
2006-02-16,620,2443 ISLINGTON AVE,None,4,"{'type': 'MultiPoint', 'coordinates': [[-79.5600900005698, 43.7255449998513]]}",2006-02-16,Thu,-79.5600900005698,43.7255449998513,0620,06
2006-02-16,2159,DOVERCOURT RD,NORTHUMBERLAND ST,172,"{'type': 'MultiPoint', 'coordinates': [[-79.4297899996027, 43.6625450002673]]}",2006-02-16,Thu,-79.4297899996027,43.6625450002673,2159,21
2006-02-16,2159,DOVERCOURT RD,NORTHUMBERLAND ST,172,"{'type': 'MultiPoint', 'coordinates': [[-79.4297899996027, 43.6625450002673]]}",2006-02-16,Thu,-79.4297899996027,43.6625450002673,2159,21
2006-02-16,2159,DOVERCOURT RD,NORTHUMBERLAND ST,172,"{'type': 'MultiPoint', 'coordinates': [[-79.4297899996027, 43.6625450002673]]}",2006-02-16,Thu,-79.4297899996027,43.6625450002673,2159,21
2006-02-19,1508,EGLINTON AVE E,SUTHERLAND DR,56,"{'type': 'MultiPoint', 'coordinates': [[-79.3671900003527, 43.7130450001295]]}",2006-02-19,Sun,-79.367190000352707,43.7130450001295,1508,15
